PLAYER,TEAM,GP,MIN,PTS,AST,REB,FG%,3P%,FT%,YEAR,MVP
Kawhi Leonard,LAC,57,32.4,27.1,4.9,7.1,47.0,37.8,88.6,2020,0
Devin Booker,PHX,70,35.9,26.6,6.5,4.2,48.9,35.4,91.9,2020,0
Karl-Anthony Towns,MIN,35,33.9,26.5,4.4,10.8,50.8,41.2,79.6,2020,0
Anthony Davis,LAL,62,34.4,26.1,3.2,9.3,50.3,33.0,84.6,2020,0
Zach LaVine,CHI,60,34.8,25.5,4.2,4.8,45.0,38.0,80.2,2020,0
LeBron James,LAL,67,34.6,25.3,10.2,7.8,49.3,34.8,69.3,2020,0
Donovan Mitchell,UTA,69,34.3,24.0,4.3,4.4,44.9,36.6,86.3,2020,0
James Harden,HOU,78,36.8,36.1,7.5,6.6,44.2,36.8,87.9,2019,0
Paul George,OKC,77,36.9,28.0,4.1,8.2,43.8,38.6,83.9,2019,0
Giannis Antetokounmpo,MIL,72,32.8,27.7,5.9,12.5,57.8,25.6,72.9,2019,1
Joel Embiid,PHI,64,33.7,27.5,3.7,13.6,48.4,30.0,80.4,2019,0
LeBron James,LAL,55,35.2,27.4,8.3,8.5,51.0,33.9,66.5,2019,0
Stephen Curry,GSW,69,33.8,27.3,5.2,5.3,47.2,43.7,91.6,2019,0
Kawhi Leonard,TOR,60,34.0,26.6,3.3,7.3,49.6,37.1,85.4,2019,0
Devin Booker,PHX,64,35.0,26.6,6.8,4.1,46.7,32.6,86.6,2019,0
Kevin Durant,GSW,78,34.6,26.0,5.9,6.4,52.1,35.3,88.5,2019,0
Anthony Davis,NOP,56,33.0,25.9,3.9,12.0,51.7,33.1,79.4,2019,0
Damian Lillard,POR,80,35.5,25.8,6.9,4.6,44.4,36.9,91.2,2019,0
Kemba Walker,CHA,82,34.9,25.6,5.9,4.4,43.4,35.6,84.4,2019,0
Bradley Beal,WAS,82,36.9,25.6,5.5,5.0,47.5,35.1,80.8,2019,0
Blake Griffin,DET,75,35.0,24.5,5.4,7.5,46.2,36.2,75.3,2019,0
Karl-Anthony Towns,MIN,77,33.0,24.4,3.4,12.4,51.8,40.0,83.6,2019,0
James Harden,HOU,72,35.4,30.4,8.8,5.4,44.9,36.7,85.8,2018,1
Anthony Davis,NOP,75,36.4,28.1,2.3,11.1,53.4,34.0,82.8,2018,0
LeBron James,CLE,82,36.9,27.5,9.1,8.6,54.2,36.7,73.1,2018,0
Damian Lillard,POR,73,36.6,26.9,6.6,4.5,43.9,36.1,91.6,2018,0
Giannis Antetokounmpo,MIL,75,36.7,26.9,4.8,10.0,52.9,30.7,76.0,2018,0
Stephen Curry,GSW,51,32.0,26.4,6.1,5.1,49.5,42.3,92.1,2018,0
Kevin Durant,GSW,68,34.2,26.4,5.4,6.8,51.6,41.9,88.9,2018,0
Russell Westbrook,OKC,80,36.4,25.4,10.3,10.1,44.9,29.8,73.7,2018,0
DeMarcus Cousins,NOP,48,36.2,25.2,5.4,12.9,47.0,35.4,74.6,2018,0
Devin Booker,PHX,54,34.5,24.9,4.7,4.5,43.2,38.3,87.8,2018,0
Kyrie Irving,BOS,60,32.2,24.4,5.1,3.8,49.1,40.8,88.9,2018,0
LaMarcus Aldridge,SAS,75,33.4,23.1,2.0,8.5,51.0,29.3,83.7,2018,0
Victor Oladipo,IND,75,34.0,23.1,4.3,5.2,47.7,37.1,79.9,2018,0
DeMar DeRozan,TOR,80,33.9,23.0,5.2,3.9,45.6,31.0,82.5,2018,0
Joel Embiid,PHI,63,30.4,22.9,3.2,11.0,48.3,30.8,76.9,2018,0
Russell Westbrook,OKC,81,34.6,31.6,10.4,10.7,42.5,34.3,84.5,2017,1
James Harden,HOU,81,36.4,29.1,11.2,8.1,44.0,34.7,84.7,2017,0
Isaiah Thomas,BOS,76,33.8,28.9,5.9,2.7,46.3,37.9,90.9,2017,0
Anthony Davis,NOP,75,36.1,28.0,2.1,11.8,50.5,29.9,80.2,2017,0
DeMar DeRozan,TOR,74,35.4,27.3,3.9,5.2,46.7,26.6,84.2,2017,0
Damian Lillard,POR,75,35.9,27.0,5.9,4.9,44.4,37.0,89.5,2017,0
DeMarcus Cousins,NOP,72,34.2,27.0,4.6,11.0,45.2,36.1,77.2,2017,0
LeBron James,CLE,74,37.8,26.4,8.7,8.6,54.8,36.3,67.4,2017,0
Kawhi Leonard,SAS,74,33.4,25.5,3.5,5.8,48.5,38.0,88.0,2017,0
Stephen Curry,GSW,79,33.4,25.3,6.6,4.5,46.8,41.1,89.8,2017,0
Kyrie Irving,CLE,72,35.1,25.2,5.8,3.2,47.3,40.1,90.5,2017,0
Karl-Anthony Towns,MIN,82,37.0,25.1,2.7,12.3,54.2,36.7,83.2,2017,0
Kevin Durant,GSW,62,33.4,25.1,4.8,8.3,53.7,37.5,87.5,2017,0
Jimmy Butler,CHI,76,37.0,23.9,5.5,6.2,45.5,36.7,86.5,2017,0
Paul George,IND,75,35.9,23.7,3.3,6.6,46.1,39.3,89.8,2017,0
Stephen Curry,GSW,79,34.2,30.1,6.7,5.4,50.4,45.4,90.8,2016,1
James Harden,HOU,82,38.1,29.0,7.5,6.1,43.9,35.9,86.0,2016,0
Kevin Durant,OKC,72,35.8,28.2,5.0,8.2,50.5,38.7,89.8,2016,0
DeMarcus Cousins,SAC,65,34.6,26.9,3.3,11.5,45.1,33.3,71.8,2016,0
LeBron James,CLE,76,35.6,25.3,6.8,7.4,52.0,30.9,73.1,2016,0
Damian Lillard,POR,75,35.7,25.1,6.8,4.0,41.9,37.5,89.2,2016,0
Anthony Davis,NOP,61,35.5,24.3,1.9,10.3,49.3,32.4,75.8,2016,0
Russell Westbrook,OKC,80,34.4,23.5,10.4,7.8,45.4,29.6,81.2,2016,0
DeMar DeRozan,TOR,78,35.9,23.5,4.0,4.5,44.6,33.8,85.0,2016,0
Paul George,IND,81,34.8,23.1,4.1,7.0,41.8,37.1,86.0,2016,0
Isaiah Thomas,BOS,82,32.2,22.2,6.2,3.0,42.8,35.9,87.1,2016,0
Klay Thompson,GSW,80,33.3,22.1,2.1,3.8,47.0,42.5,87.3,2016,0
Carmelo Anthony,NYK,72,35.1,21.8,4.2,7.7,43.4,33.9,82.9,2016,0
Blake Griffin,LAC,35,33.4,21.4,4.9,8.4,49.9,33.3,72.7,2016,0
Kyle Lowry,TOR,77,37.0,21.2,6.4,4.7,42.7,38.8,81.1,2016,0
Russell Westbrook,OKC,67,34.4,28.1,8.6,7.3,42.6,29.9,83.5,2015,0
James Harden,HOU,81,36.8,27.4,7.0,5.7,44.0,37.5,86.8,2015,0
Kevin Durant,OKC,27,33.8,25.4,4.1,6.6,51.0,40.3,85.4,2015,0
LeBron James,CLE,69,36.1,25.3,7.4,6.0,48.8,35.4,71.0,2015,0
Anthony Davis,NOP,68,36.1,24.4,2.2,10.2,53.5,8.3,80.5,2015,0
Carmelo Anthony,NYK,40,35.7,24.2,3.1,6.6,44.4,34.1,79.7,2015,0
DeMarcus Cousins,SAC,59,34.1,24.1,3.6,12.7,46.7,25.0,78.2,2015,0
Stephen Curry,GSW,80,32.7,23.8,7.7,4.3,48.7,44.3,91.4,2015,1
LaMarcus Aldridge,POR,71,35.4,23.4,1.7,10.2,46.6,35.2,84.5,2015,0
Kobe Bryant,LAL,35,34.5,22.3,5.6,5.7,37.3,29.3,81.3,2015,0
Blake Griffin,LAC,67,35.2,21.9,5.3,7.6,50.2,40.0,72.8,2015,0
Kyrie Irving,CLE,75,36.4,21.7,5.2,3.2,46.8,41.5,86.3,2015,0
Klay Thompson,GSW,77,31.9,21.7,2.9,3.2,46.3,43.9,87.9,2015,0
Dwyane Wade,MIA,62,31.8,21.5,4.8,3.5,47.0,28.4,76.8,2015,0
Chris Bosh,MIA,44,35.4,21.1,2.2,7.0,46.0,37.5,77.2,2015,0
Kevin Durant,OKC,81,38.5,32.0,5.5,7.4,50.3,39.1,87.3,2014,1
Carmelo Anthony,NYK,77,38.7,27.4,3.1,8.1,45.2,40.2,84.8,2014,0
LeBron James,MIA,77,37.7,27.1,6.3,6.9,56.7,37.9,75.0,2014,0
Kevin Love,MIN,77,36.3,26.1,4.4,12.5,45.7,37.6,82.1,2014,0
James Harden,HOU,73,38.0,25.4,6.1,4.7,45.6,36.6,86.6,2014,0
Blake Griffin,LAC,80,35.8,24.1,3.9,9.5,52.8,27.3,71.5,2014,0
Stephen Curry,GSW,78,36.5,24.0,8.5,4.3,47.1,42.4,88.5,2014,0
LaMarcus Aldridge,POR,69,36.2,23.2,2.6,11.1,45.8,20.0,82.2,2014,0
DeMarcus Cousins,SAC,71,32.4,22.7,2.9,11.7,49.6,0.0,72.6,2014,0
DeMar DeRozan,TOR,79,38.2,22.7,4.0,4.3,42.9,30.5,82.4,2014,0
Al Jefferson,CHA,73,35.0,21.8,2.1,10.8,50.9,20.0,69.0,2014,0
Russell Westbrook,OKC,46,30.7,21.8,6.9,5.7,43.7,31.8,82.6,2014,0
Paul George,IND,80,36.2,21.7,3.5,6.8,42.4,36.4,86.4,2014,0
Dirk Nowitzki,DAL,80,32.9,21.7,2.7,6.2,49.7,39.8,89.9,2014,0
Kyrie Irving,CLE,71,35.2,20.8,6.1,3.6,43.0,35.8,86.1,2014,0
Carmelo Anthony,NYK,67,37.0,28.7,2.6,6.9,44.9,37.9,83.0,2013,0
Kevin Durant,OKC,81,38.5,28.1,4.6,7.9,51.0,41.6,90.5,2013,0
Kobe Bryant,LAL,78,38.6,27.3,6.0,5.6,46.3,32.4,83.9,2013,0
LeBron James,MIA,76,37.9,26.8,7.3,8.0,56.5,40.6,75.3,2013,1
James Harden,HOU,78,38.3,25.9,5.8,4.9,43.8,36.8,85.1,2013,0
Russell Westbrook,OKC,82,34.9,23.2,7.4,5.2,43.8,32.3,80.0,2013,0
Stephen Curry,GSW,78,38.2,22.9,6.9,4.0,45.1,45.3,90.0,2013,0
Kyrie Irving,CLE,59,34.7,22.5,5.9,3.7,45.2,39.1,85.5,2013,0
Dwyane Wade,MIA,69,34.6,21.2,5.1,5.0,52.1,25.8,72.5,2013,0
LaMarcus Aldridge,POR,74,37.7,21.1,2.6,9.1,48.4,14.3,81.0,2013,0
Tony Parker,SAS,66,32.9,20.3,7.6,3.0,52.2,35.3,84.5,2013,0
Brook Lopez,BKN,74,30.5,19.4,0.9,6.9,52.1,0.0,75.8,2013,0
Monta Ellis,MIL,82,37.5,19.2,6.0,3.9,41.6,28.7,77.3,2013,0
Damian Lillard,POR,82,38.6,19.0,6.5,3.1,42.9,36.8,84.4,2013,0
Deron Williams,BKN,78,36.4,18.9,7.7,3.0,44.0,37.8,85.9,2013,0
Kevin Durant,OKC,66,38.6,28.0,3.5,8.0,49.6,38.7,86.0,2012,0
Kobe Bryant,LAL,58,38.5,27.9,4.6,5.4,43.0,30.3,84.5,2012,0
LeBron James,MIA,62,37.5,27.1,6.2,7.9,53.1,36.2,77.1,2012,1
Kevin Love,MIN,55,39.0,26.0,2.0,13.3,44.8,37.2,82.4,2012,0
Russell Westbrook,OKC,66,35.3,23.6,5.5,4.6,45.7,31.6,82.3,2012,0
Carmelo Anthony,NYK,55,34.1,22.6,3.6,6.3,43.0,33.5,80.4,2012,0
Dwyane Wade,MIA,49,33.2,22.1,4.6,4.8,49.7,26.8,79.1,2012,0
Derrick Rose,CHI,39,35.2,21.8,7.9,3.4,43.5,31.2,81.2,2012,0
LaMarcus Aldridge,POR,55,36.3,21.7,2.4,8.0,51.2,18.2,81.4,2012,0
Dirk Nowitzki,DAL,62,33.5,21.6,2.2,6.7,45.7,36.8,89.6,2012,0
Deron Williams,NJN,55,36.3,21.0,8.7,3.3,40.7,33.6,84.3,2012,0
Blake Griffin,LAC,66,36.2,20.7,3.2,10.9,54.9,12.5,52.1,2012,0
Dwight Howard,ORL,54,38.3,20.6,1.9,14.5,57.3,0.0,49.1,2012,0
Eric Gordon,NOH,9,34.5,20.6,3.4,2.8,45.0,25.0,75.4,2012,0
Monta Ellis,MIL,58,36.6,20.4,6.0,3.4,43.3,30.8,79.6,2012,0
Kevin Durant,OKC,78,38.9,27.7,2.7,6.8,46.2,35.0,88.0,2011,0
LeBron James,MIA,79,38.8,26.7,7.0,7.5,51.0,33.0,75.9,2011,0
Carmelo Anthony,NYK,77,35.7,25.6,2.9,7.3,45.5,37.8,83.8,2011,0
Dwyane Wade,MIA,76,37.1,25.5,4.6,6.4,50.0,30.6,75.8,2011,0
Kobe Bryant,LAL,82,33.9,25.3,4.7,5.1,45.1,32.3,82.8,2011,0
Amar'e Stoudemire,NYK,78,36.8,25.3,2.6,8.2,50.2,43.5,79.2,2011,0
Derrick Rose,CHI,81,37.4,25.0,7.7,4.1,44.5,33.2,85.8,2011,1
Monta Ellis,GSW,80,40.3,24.1,5.6,3.5,45.1,36.1,78.9,2011,0
Kevin Martin,HOU,80,32.5,23.5,2.5,3.2,43.6,38.3,88.8,2011,0
Dirk Nowitzki,DAL,73,34.3,23.0,2.6,7.0,51.7,39.3,89.2,2011,0
Dwight Howard,ORL,78,37.6,22.9,1.4,14.1,59.3,0.0,59.6,2011,0
Blake Griffin,LAC,82,37.9,22.5,3.8,12.1,50.6,29.2,64.2,2011,0
Eric Gordon,LAC,56,37.7,22.3,4.4,2.9,45.0,36.4,82.5,2011,0
Russell Westbrook,OKC,82,34.7,21.9,8.2,4.6,44.2,33.0,84.2,2011,0
LaMarcus Aldridge,POR,81,39.6,21.8,2.1,8.8,50.0,17.4,79.1,2011,0
Kevin Durant,OKC,82,39.5,30.1,2.8,7.6,47.6,36.5,90.0,2010,0
LeBron James,CLE,76,39.0,29.7,8.6,7.3,50.3,33.3,76.7,2010,1
Carmelo Anthony,DEN,69,38.2,28.2,3.2,6.6,45.8,31.6,83.0,2010,0
Kobe Bryant,LAL,73,38.8,27.0,5.0,5.4,45.6,32.9,81.1,2010,0
Dwyane Wade,MIA,77,36.3,26.6,6.5,4.8,47.6,30.0,76.1,2010,0
Monta Ellis,GSW,64,41.4,25.5,5.3,4.0,44.9,33.8,75.3,2010,0
Dirk Nowitzki,DAL,81,37.5,25.0,2.7,7.7,48.1,42.1,91.5,2010,0
Danny Granger,IND,62,36.7,24.1,2.8,5.5,42.8,36.1,84.8,2010,0
Chris Bosh,TOR,70,36.1,24.0,2.4,10.8,51.8,36.4,79.7,2010,0
Amar'e Stoudemire,PHX,82,34.6,23.1,1.0,8.9,55.7,16.7,77.1,2010,0
Gilbert Arenas,WAS,32,36.5,22.6,7.2,4.2,41.1,34.8,73.9,2010,0
Brandon Roy,POR,65,37.2,21.5,4.7,4.4,47.3,33.0,78.0,2010,0
Joe Johnson,ATL,76,38.0,21.3,4.9,4.6,45.8,36.9,81.8,2010,0
Derrick Rose,CHI,78,36.8,20.8,6.0,3.8,48.9,26.7,76.6,2010,0
Zach Randolph,MEM,81,37.7,20.8,1.8,11.7,48.8,28.8,77.8,2010,0
Dwyane Wade,MIA,79,38.6,30.2,7.5,5.0,49.1,31.7,76.5,2009,0
LeBron James,CLE,81,37.7,28.4,7.2,7.6,48.9,34.4,78.0,2009,1
Kobe Bryant,LAL,82,36.1,26.8,4.9,5.2,46.7,35.1,85.6,2009,0
Dirk Nowitzki,DAL,81,37.7,25.9,2.4,8.4,47.9,35.9,89.0,2009,0
Danny Granger,IND,67,36.2,25.8,2.7,5.1,44.7,40.4,87.8,2009,0
Kevin Durant,OKC,74,39.0,25.3,2.8,6.5,47.6,42.2,86.3,2009,0
Kevin Martin,SAC,51,38.2,24.6,2.7,3.6,42.0,41.5,86.7,2009,0
Al Jefferson,MIN,50,36.7,23.1,1.6,11.0,49.7,0.0,73.8,2009,0
Chris Paul,NOH,78,38.5,22.8,11.0,5.5,50.3,36.4,86.8,2009,0
Carmelo Anthony,DEN,66,34.5,22.8,3.4,6.8,44.3,37.1,79.3,2009,0
Chris Bosh,TOR,77,38.0,22.7,2.5,10.0,48.7,24.5,81.7,2009,0
Brandon Roy,POR,78,37.2,22.6,5.1,4.7,48.0,37.7,82.4,2009,0
Antawn Jamison,WAS,81,38.2,22.2,1.9,8.9,46.8,35.1,75.4,2009,0
Tony Parker,SAS,72,34.1,22.0,6.9,3.1,50.6,29.2,78.2,2009,0
Amar'e Stoudemire,PHX,53,36.8,21.4,2.0,8.1,53.9,42.9,83.5,2009,0
LeBron James,CLE,75,40.4,30.0,7.2,7.9,48.4,31.5,71.2,2008,0
Kobe Bryant,LAL,82,38.9,28.3,5.4,6.3,45.9,36.1,84.0,2008,1
Allen Iverson,DEN,82,41.8,26.4,7.1,3.0,45.8,34.5,80.9,2008,0
Carmelo Anthony,DEN,77,36.4,25.7,3.4,7.4,49.2,35.4,78.6,2008,0
Amar'e Stoudemire,PHX,79,33.9,25.2,1.5,9.1,59.0,16.1,80.5,2008,0
Dwyane Wade,MIA,51,38.3,24.6,6.9,4.2,46.9,28.6,75.8,2008,0
Kevin Martin,SAC,61,36.3,23.7,2.1,4.5,45.6,40.2,86.9,2008,0
Dirk Nowitzki,DAL,77,36.0,23.6,3.5,8.6,47.9,35.9,87.9,2008,0
Michael Redd,MIL,72,37.5,22.7,3.4,4.3,44.2,36.2,82.0,2008,0
Richard Jefferson,NJN,82,39.0,22.6,3.1,4.2,46.6,36.2,79.8,2008,0
Chris Bosh,TOR,67,36.2,22.3,2.6,8.7,49.4,40.0,84.4,2008,0
Corey Maggette,LAC,70,35.7,22.1,2.7,5.6,45.8,38.4,81.2,2008,0
Yao Ming,HOU,55,37.2,22.0,2.3,10.8,50.7,0.0,85.0,2008,0
Baron Davis,GSW,82,39.0,21.8,7.6,4.7,42.6,33.0,75.0,2008,0
Jason Richardson,CHA,82,38.4,21.8,3.1,5.4,44.1,40.6,75.2,2008,0
Kobe Bryant,LAL,77,40.8,31.6,5.4,5.7,46.3,34.4,86.8,2007,0
Carmelo Anthony,DEN,65,38.2,28.9,3.8,6.0,47.6,26.8,80.8,2007,0
Gilbert Arenas,WAS,74,39.8,28.4,6.0,4.6,41.8,35.1,84.4,2007,0
Dwyane Wade,MIA,51,37.9,27.4,7.5,4.7,49.1,26.6,80.7,2007,0
LeBron James,CLE,78,40.9,27.3,6.0,6.7,47.6,31.9,69.8,2007,0
Michael Redd,MIL,53,38.4,26.7,2.3,3.7,46.5,38.2,82.9,2007,0
Ray Allen,SEA,55,40.3,26.4,4.1,4.5,43.8,37.2,90.3,2007,0
Allen Iverson,DEN,65,42.5,26.3,7.2,3.0,44.2,31.5,79.5,2007,0
Vince Carter,NJN,82,38.1,25.2,4.8,6.0,45.4,35.7,80.2,2007,0
Yao Ming,HOU,48,33.8,25.0,2.0,9.4,51.6,0.0,86.2,2007,0
Joe Johnson,ATL,57,41.4,25.0,4.4,4.2,47.1,38.1,74.8,2007,0
Paul Pierce,BOS,47,37.0,25.0,4.1,5.9,43.9,38.9,79.6,2007,0
Tracy McGrady,HOU,71,35.8,24.6,6.5,5.3,43.1,33.1,70.7,2007,0
Dirk Nowitzki,DAL,78,36.2,24.6,3.4,8.9,50.2,41.6,90.4,2007,1
Zach Randolph,POR,68,35.7,23.6,2.2,10.1,46.7,29.2,81.9,2007,0
Kobe Bryant,LAL,80,41.0,35.4,4.5,5.3,45.0,34.7,85.0,2006,0
Allen Iverson,PHI,72,43.1,33.0,7.4,3.2,44.7,32.3,81.4,2006,0
LeBron James,CLE,79,42.5,31.4,6.6,7.0,48.0,33.5,73.8,2006,0
Gilbert Arenas,WAS,80,42.3,29.3,6.1,3.5,44.7,36.9,82.0,2006,0
Dwyane Wade,MIA,75,38.6,27.2,6.7,5.7,49.5,17.1,78.3,2006,0
Paul Pierce,BOS,79,39.0,26.8,4.7,6.7,47.1,35.4,77.2,2006,0
Dirk Nowitzki,DAL,81,38.1,26.6,2.8,9.0,48.0,40.6,90.1,2006,0
Carmelo Anthony,DEN,80,36.8,26.5,2.7,4.9,48.1,24.3,80.8,2006,0
Michael Redd,MIL,80,39.1,25.4,2.9,4.3,45.0,39.5,87.7,2006,0
Ray Allen,SEA,78,38.7,25.1,3.7,4.3,45.4,41.2,90.3,2006,0
Elton Brand,LAC,79,39.2,24.7,2.6,10.0,52.7,33.3,77.5,2006,0
Tracy McGrady,HOU,47,37.1,24.4,4.8,6.5,40.6,31.2,74.7,2006,0
Vince Carter,NJN,79,36.8,24.2,4.3,5.8,43.0,34.1,79.9,2006,0
Jason Richardson,GSW,75,38.4,23.2,3.1,5.8,44.6,38.4,67.3,2006,0
Steve Nash,PHX,79,35.4,18.8,10.5,4.2,51.2,43.9,92.1,2006,1
Allen Iverson,PHI,75,42.3,30.7,7.9,4.0,42.4,30.8,83.5,2005,0
Kobe Bryant,LAL,66,40.8,27.6,6.0,5.9,43.3,33.9,81.6,2005,0
LeBron James,CLE,80,42.3,27.2,7.2,7.4,47.2,35.1,75.0,2005,0
Dirk Nowitzki,DAL,78,38.8,26.1,3.1,9.7,45.9,39.9,86.9,2005,0
Amar'e Stoudemire,PHX,80,36.1,26.0,1.6,8.9,55.9,18.8,73.3,2005,0
Tracy McGrady,HOU,78,40.9,25.7,5.7,6.2,43.1,32.6,77.4,2005,0
Gilbert Arenas,WAS,80,41.0,25.5,5.1,4.7,43.1,36.5,81.4,2005,0
Metta World Peace,IND,7,41.4,24.6,3.1,6.4,49.6,41.2,92.2,2005,0
Vince Carter,NJN,77,36.9,24.5,4.2,5.2,45.2,40.6,79.8,2005,0
Jermaine O'Neal,IND,44,35.0,24.3,1.9,8.8,45.2,16.7,75.4,2005,0
Dwyane Wade,MIA,77,38.7,24.1,6.8,5.2,47.8,28.9,76.2,2005,0
Ray Allen,SEA,78,39.3,23.9,3.7,4.4,42.8,37.6,88.3,2005,0
Michael Redd,MIL,75,38.0,23.0,2.3,4.2,44.1,35.5,85.4,2005,0
Shaquille O'Neal,MIA,73,34.2,22.9,2.7,10.4,60.1,0.0,46.1,2005,0
Steve Nash,PHX,75,34.3,15.5,11.5,3.3,50.2,43.1,88.7,2005,1
Tracy McGrady,ORL,67,40.1,28.0,5.5,6.0,41.7,33.9,79.6,2004,0
Allen Iverson,PHI,48,42.6,26.4,6.8,3.7,38.7,28.6,74.5,2004,0
Peja Stojakovic,SAC,81,40.4,24.2,2.1,6.3,48.0,43.3,92.7,2004,0
Kevin Garnett,MIN,82,39.5,24.2,5.0,13.9,49.9,25.6,79.1,2004,1
Kobe Bryant,LAL,65,37.7,24.0,5.1,5.5,43.8,32.7,85.2,2004,0
Ray Allen,SEA,56,38.5,23.0,4.8,5.1,44.0,39.2,90.4,2004,0
Paul Pierce,BOS,80,38.7,23.0,5.1,6.5,40.2,29.9,81.9,2004,0
Baron Davis,NOH,67,40.1,22.9,7.5,4.3,39.5,32.1,67.3,2004,0
Vince Carter,TOR,73,38.2,22.5,4.8,4.8,41.7,38.3,80.6,2004,0
Tim Duncan,SAS,69,36.6,22.3,3.1,12.4,50.1,16.7,59.9,2004,0
Dirk Nowitzki,DAL,77,37.9,21.8,2.7,8.7,46.2,34.1,87.7,2004,0
Michael Redd,MIL,82,36.8,21.7,2.3,5.0,44.0,35.0,86.8,2004,0
Shaquille O'Neal,LAL,67,36.8,21.5,2.9,11.5,58.4,0.0,49.0,2004,0
Carmelo Anthony,DEN,82,36.5,21.0,2.8,6.1,42.6,32.2,77.7,2004,0
LeBron James,CLE,79,39.6,20.9,5.9,5.5,41.7,29.0,75.4,2004,0
Tracy McGrady,ORL,75,39.3,32.1,5.5,6.5,45.7,38.6,79.3,2003,0
Kobe Bryant,LAL,82,41.5,30.0,5.9,6.9,45.1,38.3,84.3,2003,0
Allen Iverson,PHI,82,42.5,27.6,5.5,4.2,41.4,27.7,77.4,2003,0
Shaquille O'Neal,LAL,67,37.8,27.5,3.1,11.1,57.4,0.0,62.2,2003,0
Paul Pierce,BOS,79,39.2,25.9,4.4,7.3,41.6,30.2,80.2,2003,0
Dirk Nowitzki,DAL,80,39.0,25.1,3.0,9.9,46.3,37.9,88.1,2003,0
Tim Duncan,SAS,81,39.3,23.3,3.9,12.9,51.3,27.3,71.0,2003,1
Chris Webber,SAC,67,39.1,23.0,5.4,10.5,46.1,23.8,60.7,2003,0
